ID,Unlocalised name,Type,Min Level,Max Level,Class
101,enchantment.soulbound,all,1,1,am2.enchantments.EnchantmentSoulbound
110,enchantment.null,weapon,1,2,com.bluepowermod.enchant.EnchantmentVorpal
111,enchantment.null,weapon,1,5,com.bluepowermod.enchant.EnchantmentDisjunction
120,enchantment.betterstorage.key.unlocking,key,1,5,net.mcft.copy.betterstorage.item.EnchantmentBetterStorage
121,enchantment.betterstorage.key.lockpicking,key,1,5,net.mcft.copy.betterstorage.item.EnchantmentBetterStorage
122,enchantment.betterstorage.key.morphing,key,1,5,net.mcft.copy.betterstorage.item.EnchantmentBetterStorage
123,enchantment.betterstorage.lock.persistance,lock,1,5,net.mcft.copy.betterstorage.item.EnchantmentBetterStorage
124,enchantment.betterstorage.lock.security,lock,1,5,net.mcft.copy.betterstorage.item.EnchantmentBetterStorage
125,enchantment.betterstorage.lock.shock,lock,1,3,net.mcft.copy.betterstorage.item.EnchantmentBetterStorage
126,enchantment.betterstorage.lock.trigger,lock,1,1,net.mcft.copy.betterstorage.item.EnchantmentBetterStorage
130,enchantment.SpecialMobs.painBow,bow,1,3,toast.specialMobs.EnchantmentSpecial
131,enchantment.SpecialMobs.painSword,weapon,1,3,toast.specialMobs.EnchantmentSpecial
132,enchantment.SpecialMobs.plagueBow,bow,1,3,toast.specialMobs.EnchantmentSpecial
133,enchantment.SpecialMobs.plagueSword,weapon,1,3,toast.specialMobs.EnchantmentSpecial
134,enchantment.SpecialMobs.poisonBow,bow,1,2,toast.specialMobs.EnchantmentSpecial
135,enchantment.SpecialMobs.poisonSword,weapon,1,1,toast.specialMobs.EnchantmentSpecial
150,enchantment.haste,armor,1,3,thaumcraft.common.lib.enchantment.EnchantmentHaste
151,enchantment.repair,all,1,2,thaumcraft.common.lib.enchantment.EnchantmentRepair
180,enchantment.draconicevolution.reaperEnchant,weapon,1,5,com.brandon3055.draconicevolution.common.magic.EnchantmentReaper
190,enchantment.railcraft.crowbar.wrecking,digger,1,5,mods.railcraft.common.items.enchantment.EnchantmentDamageRailcraft
191,enchantment.railcraft.crowbar.implosion,digger,1,5,mods.railcraft.common.items.enchantment.EnchantmentDamageRailcraft
192,enchantment.railcraft.crowbar.destruction,digger,1,3,mods.railcraft.common.items.enchantment.EnchantmentDestruction
196,Reading,armor_head,1,1,jds.bibliocraft.EnchantmentReading
197,Eternal Compass,all,1,1,jds.bibliocraft.EnchantmentDeathCompass
